,review,label,tit_rev,bert_euclid_team,bert_cosine_team,flair_euclid_team,flair_cosine_team,tfidf_cos_preds,keywords_preds
331,Раньше можно было поставить свою заставку на загрузку приложения. Сейчас приходится смотреть на это безвкусное корпоративное убожество каждый раз когда открываешь приложение. Очень плохо😤,Global Navigation;iOS Release Engineer;iOS Platform,Пропала загрузка своей заставки Раньше можно было поставить свою заставку на загрузку приложения. Сейчас приходится смотреть на это безвкусное корпоративное убожество каждый раз когда открываешь приложение. Очень плохо😤,iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,Global Navigation,"['Global Navigation', 'iOS Platform']"
332,"После обновления не видно кто перевел деньги!  Очень не удобно! Верните обратно!  Необходимо  хотя бы имя, 
 кто делает перевод!",СБОЛ. Классические переводы;Автопереводы,"Не видно кто сделал перевод!!! Не удобно! После обновления не видно кто перевел деньги!  Очень не удобно! Верните обратно!  Необходимо  хотя бы имя, 
 кто делает перевод!",ПДВ в Digital,ПДВ в Digital,Sberbank ID B2C,СБОЛ. Классические переводы,ПДВ в Digital,"['ПДВ в Digital', 'Автопереводы', 'СБОЛ. Классические переводы']"
333,Совсем обнаглели!,СБОЛ. Классические переводы;Автопереводы,Перестал работать перевод на Яндекс.деньги Совсем обнаглели!,Госуслуги,Госуслуги,СБОЛ. Классические переводы,СБОЛ. Классические переводы,ПДВ в Digital,[]
334,"В приложении настроены смс уведомления, но почему то при поступлении средств они не приходят !!!!
А вот о списании приходят!!!
КАК ТАК ?",PUSH IOS;Мессенджер,"Вы мошенники В приложении настроены смс уведомления, но почему то при поступлении средств они не приходят !!!!
А вот о списании приходят!!!
КАК ТАК ?",Платежи. Штрафы,PUSH IOS,Sberbank ID B2C,ЕФС.Платежи МП,Автопереводы,"['Автопереводы', 'Sberbank ID B2C', 'ЕФС.Автоплатежи']"
336,"После последнего обновления,не могу войти в приложение!Подключаюсь к WiFi и просто от мобильной сети- безрезультатно,нет подключения и все...Как исправить?",iOS Release Engineer;iOS Platform,"Обновление После последнего обновления,не могу войти в приложение!Подключаюсь к WiFi и просто от мобильной сети- безрезультатно,нет подключения и все...Как исправить?",iOS Platform,iOS Release Engineer,Sberbank ID B2C,iOS Platform,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
337,"Обновления отстают от обновление айфон, соответственно приложение начинает работать некорректно. 

Научитесь читать внимательнее😂",iOS Release Engineer;iOS Platform,"Обновления Обновления отстают от обновление айфон, соответственно приложение начинает работать некорректно. 

Научитесь читать внимательнее😂",iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,iOS Platform,"['iOS Release Engineer', 'iOS Platform']"
338,"Очень огорчило что не государственное учреждение, позволяет приставам  не просто блокировать Карты но и позволяете самостоятельно снимать деньги счётов превышенную сумму ареста .А потом возвращать по частичкам .Не давая отчета вашему клиенту         

И ещё один момент деньги которые попадают через терминал Сбербанка зачисляются очень долго .Почти пять дней это не правильно .",ВС.МП вклады;Дебетовые карты в мобильном приложении,"Разочарование.😒 Очень огорчило что не государственное учреждение, позволяет приставам  не просто блокировать Карты но и позволяете самостоятельно снимать деньги счётов превышенную сумму ареста .А потом возвращать по частичкам .Не давая отчета вашему клиенту         

И ещё один момент деньги которые попадают через терминал Сбербанка зачисляются очень долго .Почти пять дней это не правильно .",Плановый и досрочный перевыпуск дебетовых карт,Плановый и досрочный перевыпуск дебетовых карт,Sberbank ID B2C,СБОЛ. Классические переводы,Плановый и досрочный перевыпуск дебетовых карт,"['ЕФС Выписки и справки. Mobile', 'СБОЛ. Классические переводы', 'Плановый и досрочный перевыпуск дебетовых карт']"
339,После последнего обновления не открывается приложение,iOS Release Engineer;iOS Platform,Не открывается приложение После последнего обновления не открывается приложение,iOS Release Engineer,iOS Release Engineer,iOS Platform,iOS Platform,iOS Platform,"['iOS Release Engineer', 'iOS Platform']"
340,"👍 приложение вне конкуренции
👎 нет cash back деньгами
👎 нет % на остаток по карте
Итог: пока все ещё остаюсь на  ВТБ",DBP.Витрины продаж;Дебетовые карты в мобильном приложении,"👍Сбербанк👎 👍 приложение вне конкуренции
👎 нет cash back деньгами
👎 нет % на остаток по карте
Итог: пока все ещё остаюсь на  ВТБ",Дебетовые карты в мобильном приложении,Дебетовые карты в мобильном приложении,СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['СБОЛ. Классические переводы', 'Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит']"
341,"После обновлений не вижу, когда следующая дата кредита или ипотеке",Цифровой Кредит;[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы);iOS Release Enginee,"Не отображается дата платежа по кредиту После обновлений не вижу, когда следующая дата кредита или ипотеке",iOS Release Engineer,iOS Release Engineer,[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),Цифровой Кредит,"['Цифровой Кредит', 'Mobile Online POS (Розничный кредит)', 'iOS Release Engineer']"
343,"Приложение становится все лучше и лучше - это факт. Но ситуация с чатом поддержки от Сбера ставит в ступор: чат есть, ответа от банка нет. Если чат больше не работает, надо оповестить об этом пользователей и убрать его.",Мессенджер;Текстовый чат,"Перестал работать чат поддержки Приложение становится все лучше и лучше - это факт. Но ситуация с чатом поддержки от Сбера ставит в ступор: чат есть, ответа от банка нет. Если чат больше не работает, надо оповестить об этом пользователей и убрать его.",Текстовый чат,Текстовый чат,Sberbank ID B2C,Текстовый чат,Текстовый чат,['Текстовый чат']
344,После обновления ничего не изменилось — настройки разделов главного экрана все так же слетают.,Global Navigation;iOS Platform,Настройки экрана слетают После обновления ничего не изменилось — настройки разделов главного экрана все так же слетают.,Global Navigation,iOS Release Engineer,Global Navigation,Global Navigation,iOS Release Engineer,"['iOS Release Engineer', 'Global Navigation', 'iOS Platform']"
345,Как же классно обновили приложение круто мне безумно нравится!!!👍🏻👍🏻👍🏻👍🏻,iOS Release Engineer;iOS Platform,Обновление Как же классно обновили приложение круто мне безумно нравится!!!👍🏻👍🏻👍🏻👍🏻,iOS Release Engineer,iOS Release Engineer,iOS Platform,iOS Platform,iOS Release Engineer,[]
346,"Господа разработчики,в последнем обновлении Вы добавили кучу не нужного,куда делась вкладка карты???,теперь не возможно посмотреть работает банкомат или нет!!!!!!!!!,вместо того чтобы делать проще и понятно вы делаете наоборот!!!!,УЖАС!!!!!",iOS Release Engineer;iOS Platform;Дебетовые карты в мобильном приложении,"Александр Господа разработчики,в последнем обновлении Вы добавили кучу не нужного,куда делась вкладка карты???,теперь не возможно посмотреть работает банкомат или нет!!!!!!!!!,вместо того чтобы делать проще и понятно вы делаете наоборот!!!!,УЖАС!!!!!",Дебетовые карты в мобильном приложении,Дебетовые карты в мобильном приложении,Sberbank ID B2C,iOS Platform,Global Navigation,"['Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит', 'iOS Release Engineer']"
347,Почему убрали кнопку «не учитывать в расходах/зачислениях» на позициях в меню «анализ расходов и зачислений»?,PFM Бюджет,🤷‍♂️ Почему убрали кнопку «не учитывать в расходах/зачислениях» на позициях в меню «анализ расходов и зачислений»?,PFM Бюджет,PFM Бюджет,Sberbank ID B2C,Global Navigation,Global Navigation,"['PFM Бюджет', 'Global Navigation']"
348,"Заходишь с айфона, 3 секунды и закрывается, постоянно, буд-то какой-то алгоритм сбит последним обновлением.

Ваша рекомендация помогла, переустановил, всё заработало. Спасибо",iOS Release Engineer;iOS Platform,"Вылетает последние два дня Заходишь с айфона, 3 секунды и закрывается, постоянно, буд-то какой-то алгоритм сбит последним обновлением.

Ваша рекомендация помогла, переустановил, всё заработало. Спасибо",iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,iOS Platform,"['Развитие лояльности в МП СБОЛ', 'iOS Release Engineer', 'iOS Platform']"
349,"С 25.09.2019 перестали приходить уведомления в Сбербанк онлайн. Сейчас по старой схеме, все приходит на смс. Очень неудобно. Подскажите, из за чего проблема?",PUSH IOS;Мессенджер;Текстовый чат,"Уведомления в приложении С 25.09.2019 перестали приходить уведомления в Сбербанк онлайн. Сейчас по старой схеме, все приходит на смс. Очень неудобно. Подскажите, из за чего проблема?",DBP.Витрины продаж,DBP.Витрины продаж,Sberbank ID B2C,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['Sberbank ID B2C', 'Мессенджер', 'СБОЛ. Классические переводы']"
351,"У меня какой то непонятный сбой в приложение мне не зайти в онлайн и даже пароль не вводится ,3 часа пытаюсь уже(",iOS Platform,"Сбой У меня какой то непонятный сбой в приложение мне не зайти в онлайн и даже пароль не вводится ,3 часа пытаюсь уже(",Комиссионные продукты,Sberbank ID B2C,iOS Platform,iOS Platform,DDA Profile,"['DDA Profile', 'iOS Platform']"
352,"На кой болт вы изменили дизайн?!
С этим вонючим обновлением ни чего не понятно
Верните старый дизайн!!!!!
Или я вашего сберкота отвезу к ветеринару и чик- чик сделаем!!!!!",iOS Release Engineer;iOS Platform;Global Navigation,"Ебантяи На кой болт вы изменили дизайн?!
С этим вонючим обновлением ни чего не понятно
Верните старый дизайн!!!!!
Или я вашего сберкота отвезу к ветеринару и чик- чик сделаем!!!!!",Самозанятые,iOS Release Engineer,Sberbank ID B2C,СБОЛ. Классические переводы,Global Navigation,"['iOS Release Engineer', 'Global Navigation', 'iOS Platform']"
353,"Свыше 50 тыс рублей взимается комиссия? В 2020 году? Между своими клиентами Сбербанка? Вы серьезно? А перевёл со Сбербанка в втб без комиссии! Браво! Клиентоориентированность «высший класс». И спасибо этому приложению, который украл мои деньги!",СБОЛ. Классические переводы;Автопереводы,"Переводы Свыше 50 тыс рублей взимается комиссия? В 2020 году? Между своими клиентами Сбербанка? Вы серьезно? А перевёл со Сбербанка в втб без комиссии! Браво! Клиентоориентированность «высший класс». И спасибо этому приложению, который украл мои деньги!",СБОЛ. Классические переводы,СБОЛ. Классические переводы,Sberbank ID B2C,СБОЛ. Классические переводы,Sberbank ID B2C,"['Sberbank ID B2C', 'Развитие лояльности в МП СБОЛ', 'ЕФС.Автоплатежи']"
354,"На айфон 11 я захожу в приложение и вижу свой счёт на карте, мне делают перевод, приходит смс о зачислении денег я в приложении обновляю данные а баланс остаётся прежним. Чтобы увидеть обновлённый баланс приходится закрывать приложение и снова входить тогда он отображается корректно.",PUSH IOS;PFM Бюджет;СБОЛ. Классические переводы,"Устраните лаг. На айфон 11 я захожу в приложение и вижу свой счёт на карте, мне делают перевод, приходит смс о зачислении денег я в приложении обновляю данные а баланс остаётся прежним. Чтобы увидеть обновлённый баланс приходится закрывать приложение и снова входить тогда он отображается корректно.",iOS Platform,ВС.МП вклады,СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['ПДВ в Digital', 'Автопереводы', 'СБОЛ. Классические переводы']"
356,"В прошлых версиях при создании шаблонов в интернет-банке они отображались и в мобильном приложении. Сейчас же их не видно, очень не удобно(
Исправьте, пожалуйста!",ЕФС.Платежи МП;Платежи. Штрафы;iOS Release Engineer,"Верните шаблоны В прошлых версиях при создании шаблонов в интернет-банке они отображались и в мобильном приложении. Сейчас же их не видно, очень не удобно(
Исправьте, пожалуйста!",СБОЛ. Классические переводы,СБОЛ. Классические переводы,Sberbank ID B2C,iOS Platform,СБОЛ. Классические переводы,"['iOS Release Engineer', 'ЕФС.Платежи МП', 'Платежи. Штрафы']"
357,Не работает,iOS Platform,Не работает Не работает,Комиссионные продукты,Комиссионные продукты,Текстовый чат,Текстовый чат,,[]
359,"Когда захожу в приложение, выкидывает сразу",iOS Platform,"Выкидывает Когда захожу в приложение, выкидывает сразу",Sberbank ID B2C,Sberbank ID B2C,Sberbank ID B2C,iOS Platform,iOS Platform,[]
361,В информации по кредиту нет данных по проведённым платежам. Отсутствует информация по погашению основного кредита и по процентам.,Цифровой Кредит;Mobile Online POS (Розничный кредит);[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),Отсутствует информация по кредиту В информации по кредиту нет данных по проведённым платежам. Отсутствует информация по погашению основного кредита и по процентам.,[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),ЕФС.Платежи МП,ЕФС.Платежи МП,Цифровой Кредит,"['Цифровой Кредит', 'Mobile Online POS (Розничный кредит)', '[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)']"
363,"Очень рада, что есть диалоги. Вижу историю, общаюсь, перевожу деньги, прикольные смайлики.",Мессенджер;История операций;СБОЛ. Классические переводы;Автопереводы,"Нравятся диалоги Очень рада, что есть диалоги. Вижу историю, общаюсь, перевожу деньги, прикольные смайлики.",Мессенджер,Мессенджер,Мессенджер,Мессенджер,Мессенджер,"['Мессенджер', 'ЕФС.Автоплатежи', 'Платежи. Штрафы']"
364,Почему убрали возможность досрочного погашения кредита?,Цифровой Кредит;Mobile Online POS (Розничный кредит);[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),Отзыв Почему убрали возможность досрочного погашения кредита?,Mobile Online POS (Розничный кредит),Цифровой Кредит,[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),Цифровой Кредит,iOS Platform,"['Цифровой Кредит', 'Mobile Online POS (Розничный кредит)', '[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)']"
365,Как изменить сумму в шаблоне почему так сложно,СБОЛ. Классические переводы;ЕФС.Автоплатежи;Автопереводы,Дурдом Как изменить сумму в шаблоне почему так сложно,СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,Платежи. Штрафы,"['Платежи. Штрафы', 'СБОЛ. Классические переводы', 'ЕФС.Платежи МП']"
366,"Зачем платить за дизайн карты если она не отображается  с твоим дизайном. Не в банке онлайн не в wallet
Даже тенькоф и то умудрился это сделать оправданной затратой. Жирный минус Вам",Плановый и досрочный перевыпуск дебетовых карт,"Зачем платить за дизайн карты Зачем платить за дизайн карты если она не отображается  с твоим дизайном. Не в банке онлайн не в wallet
Даже тенькоф и то умудрился это сделать оправданной затратой. Жирный минус Вам",Дебетовые карты в мобильном приложении,Дебетовые карты в мобильном приложении,СБОЛ. Классические переводы,СБОЛ. Классические переводы,Дебетовые карты в мобильном приложении,"['Дебетовые карты в мобильном приложении', 'Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит']"
367,"Очень сожалею, что стали брать комиссию за перевод более 50 тысяч в месяц.",СБОЛ. Классические переводы;ЕФС.Автоплатежи;Автопереводы;Платежи. Штрафы;ЕФС.Платежи МП,"Комиссия Очень сожалею, что стали брать комиссию за перевод более 50 тысяч в месяц.",Платежи. Штрафы,Платежи. Штрафы,Sberbank ID B2C,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['ПДВ в Digital', 'Автопереводы', 'Sberbank ID B2C']"
368,"Мне не понравилось то что я закинула деньги в банкомат, а они поступили через 5 дней. Это не приемлемо для столь огромного банка . Решите проблему так как убытки понесла я, а не банк",ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы;ЕФС.Автоплатежи;Автопереводы,"Банкоматы Мне не понравилось то что я закинула деньги в банкомат, а они поступили через 5 дней. Это не приемлемо для столь огромного банка . Решите проблему так как убытки понесла я, а не банк",DBP.Витрины продаж,DBP.Витрины продаж,Sberbank ID B2C,СБОЛ. Классические переводы,iOS Platform,"['ЕФС.Автоплатежи', 'Платежи. Штрафы', 'СБОЛ. Классические переводы']"
369,"Комиссия за переводы , разочаровала был лучший банк, стал как все",СБОЛ. Классические переводы;Автопереводы,"Комиссия Комиссия за переводы , разочаровала был лучший банк, стал как все",СБОЛ. Классические переводы,СБОЛ. Классические переводы,Sberbank ID B2C,СБОЛ. Классические переводы,Sberbank ID B2C,"['ПДВ в Digital', 'Автопереводы', 'Sberbank ID B2C']"
370,После обновления Приложение не грузится. Требует вайфай. Но к сожалению вайфая у меня нет. Не знаю что делать.,iOS Release Engineer;iOS Platform,Не могу загрузить приложение После обновления Приложение не грузится. Требует вайфай. Но к сожалению вайфая у меня нет. Не знаю что делать.,iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
371,"После обновления тормозит , не реагирует на попытки открыть карту, сделать перевод",iOS Release Engineer;iOS Platform,"Ошибки После обновления тормозит , не реагирует на попытки открыть карту, сделать перевод",Плановый и досрочный перевыпуск дебетовых карт,Плановый и досрочный перевыпуск дебетовых карт,СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['ПДВ в Digital', 'Автопереводы', 'СБОЛ. Классические переводы']"
372,Сделайте доступ к приложению по отпечатку пальца,iOS Release Engineer;iOS Platform,Вход в приложение Сделайте доступ к приложению по отпечатку пальца,Самозанятые,ЕФС Выписки и справки. Mobile,iOS Platform,iOS Platform,Global Navigation,['iOS Platform']
373,Звук монет отключается сам по себе. При каждом входе сами по себе раскрываются вкладки ( кредиты вклады и тд),PUSH IOS;ВС.МП вклады;Цифровой Кредит,Отзыв Звук монет отключается сам по себе. При каждом входе сами по себе раскрываются вкладки ( кредиты вклады и тд),ВС.МП вклады,ВС.МП вклады,Sberbank ID B2C,ЕФС.Платежи МП,Global Navigation,"['ВС.МП вклады', 'PUSH IOS', 'Global Navigation']"
374,Куда делась оплата по Qr коду?,ЕФС.Платежи МП,Оплата по Qr коду Куда делась оплата по Qr коду?,ЕФС.Платежи МП,ЕФС.Платежи МП,ЕФС.Платежи МП,ЕФС.Платежи МП,iOS Platform,[]
375,Ещё быстрее? Вообще перестало работать,iOS Release Engineer;iOS Platform,Обновление Ещё быстрее? Вообще перестало работать,Краудфандинг,ЕФС.Автоплатежи,СБОЛ. Классические переводы,iOS Release Engineer,iOS Release Engineer,[]
376,После обновления не открывается страница перевода средств кликну Сбербанка!,"iOS Release Engineer;iOS Platform;""СБОЛ. Классические переводы;Автопереводы",Печаль После обновления не открывается страница перевода средств кликну Сбербанка!,СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,iOS Platform,iOS Release Engineer,"['ПДВ в Digital', 'Автопереводы', 'iOS Release Engineer']"
378,"Почему убрали кнопку «не учитывать в расходах», когда смотришь расходы финансов и можно было самостоятельно убирая «лишнее» узнавать свой реальный расход. И когда заходил в приложение всегда показывало наверху во вкладке сумму моих расходов.",PFM Бюджет;Global Navigation,"Расходы финансов Почему убрали кнопку «не учитывать в расходах», когда смотришь расходы финансов и можно было самостоятельно убирая «лишнее» узнавать свой реальный расход. И когда заходил в приложение всегда показывало наверху во вкладке сумму моих расходов.",PFM Бюджет,PFM Бюджет,Sberbank ID B2C,СБОЛ. Классические переводы,Global Navigation,"['PFM Бюджет', 'Global Navigation']"
380,"Разработчики вы где ?!?!?!?
После обновления приложение не работает!!!!!
Отреагируйте уже как нибудь !!!!!!",iOS Release Engineer;iOS Platform,"!!! Разработчики вы где ?!?!?!?
После обновления приложение не работает!!!!!
Отреагируйте уже как нибудь !!!!!!",iOS Release Engineer,iOS Release Engineer,Sberbank ID B2C,iOS Platform,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
383,"Посте обновления не отображаются вклады, пишет что их нет. На деле они есть и теперь их не видно. Карты так вообще перестали быть видны. Только испортили приложение, с каждым обновлением все хуже и хуже. Почему нельзя сделать один раз нормально и забыть, зачем чат, анимация, и так далее.  Программисты что курят... в каких облаках летают!? Бардак а не приложение стало",ВС.МП вклады;Дебетовые карты в мобильном приложении;iOS Release Engineer,"Вклады и карта Посте обновления не отображаются вклады, пишет что их нет. На деле они есть и теперь их не видно. Карты так вообще перестали быть видны. Только испортили приложение, с каждым обновлением все хуже и хуже. Почему нельзя сделать один раз нормально и забыть, зачем чат, анимация, и так далее.  Программисты что курят... в каких облаках летают!? Бардак а не приложение стало",iOS Platform,iOS Platform,Sberbank ID B2C,СБОЛ. Классические переводы,Плановый и досрочный перевыпуск дебетовых карт,"['ВС.МП вклады', 'Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит']"
384,"Заказал справку для ежегодного отчета госслужащих, приложение зависло, пришлось удалять и загружать
 по новой",ЕФС Выписки и справки. Mobile,"Ошибки Заказал справку для ежегодного отчета госслужащих, приложение зависло, пришлось удалять и загружать
 по новой",ЕФС Выписки и справки. Mobile,ЕФС Выписки и справки. Mobile,Sberbank ID B2C,СБОЛ. Классические переводы,ЕФС Выписки и справки. Mobile,"['ЕФС Выписки и справки. Mobile', 'Текстовый чат']"
385,«Спасибо!» Вчера обновил приложение и оно перестало работать. В самый нужный момент не смог провести операции.,iOS Release Engineer;iOS Platform;Развитие лояльности в МП СБОЛ,Не работает после обновления «Спасибо!» Вчера обновил приложение и оно перестало работать. В самый нужный момент не смог провести операции.,iOS Release Engineer,iOS Release Engineer,Sberbank ID B2C,iOS Platform,iOS Release Engineer,['Развитие лояльности в МП СБОЛ']
388,"Всё хорошо, но нужно снижать комиссию",Платежи. Штраф;ЕФС.Платежи МП;ЕФС.Автоплатежи,"Платежи-переводы надёжно, но дорого. Всё хорошо, но нужно снижать комиссию",Краудфандинг,Краудфандинг,Sberbank ID B2C,Sberbank ID B2C,Sberbank ID B2C,"['Sberbank ID B2C', 'ЕФС.Автоплатежи', 'Платежи. Штрафы']"
390,За введение платы за переводы +50круб одну звезду всем вашим Приложениям,Платежи. Штраф;ЕФС.Платежи МП;ЕФС.Автоплатежи,Сбербанк За введение платы за переводы +50круб одну звезду всем вашим Приложениям,ПДВ в Digital,ПДВ в Digital,СБОЛ. Классические переводы,СБОЛ. Классические переводы,iOS Platform,"['ПДВ в Digital', 'Автопереводы', 'СБОЛ. Классические переводы']"
391,"1.перегружен интерфейс
2. раздражает баг -каждый раз при старте программы на кнопке диалоги показывается что пришли новые сообщения, на самом деле их там нет никаких",Мессенджер;Global Navigation;iOS Platform,"баг кнопки диалоги 1.перегружен интерфейс
2. раздражает баг -каждый раз при старте программы на кнопке диалоги показывается что пришли новые сообщения, на самом деле их там нет никаких",Мессенджер,Мессенджер,Global Navigation,Global Navigation,Global Navigation,"['Мессенджер', 'Global Navigation', 'Текстовый чат']"
392,"Что случилось с приложением, не могу посмотреть комментарий к переводу, в сообщении видно, а в прошедших переводах посмотреть комментарий невозможно! Верните как было🙏🏻",СБОЛ. Классические переводы;Автопереводы,"Возникла проблема Что случилось с приложением, не могу посмотреть комментарий к переводу, в сообщении видно, а в прошедших переводах посмотреть комментарий невозможно! Верните как было🙏🏻",ПДВ в Digital,ПДВ в Digital,Sberbank ID B2C,СБОЛ. Классические переводы,ПДВ в Digital,"['ПДВ в Digital', 'Автопереводы', 'СБОЛ. Классические переводы']"
393,После обновления вылетает!!!,iOS Release Engineer;iOS Platform,Обновление После обновления вылетает!!!,iOS Release Engineer,iOS Release Engineer,iOS Release Engineer,iOS Release Engineer,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
395,"Для чего нужны эти обновления, если после них все висит, не работает ни одна функция!",iOS Release Engineer;iOS Platform,"Не работает после обновления!!! Для чего нужны эти обновления, если после них все висит, не работает ни одна функция!",iOS Release Engineer,iOS Release Engineer,Sberbank ID B2C,СБОЛ. Классические переводы,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
396,После последнего обновления перестало заходить в кабинет,iOS Release Engineer;iOS Platform,Почему После последнего обновления перестало заходить в кабинет,iOS Release Engineer,iOS Release Engineer,СБОЛ. Классические переводы,СБОЛ. Классические переводы,iOS Platform,"['iOS Release Engineer', 'iOS Platform']"
397,"После ваших обновлений приложение не запускается, белый экран, а потом вылетает. (iPhone 5) Скажите, вы как-то это будете исправлять?",iOS Release Engineer;iOS Platform,"После ваших обновлений После ваших обновлений приложение не запускается, белый экран, а потом вылетает. (iPhone 5) Скажите, вы как-то это будете исправлять?",iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,iOS Platform,"['iOS Release Engineer', 'Global Navigation', 'iOS Platform']"
398,"После последнего обновления в приложении стали доступны все данные о карте: номер карты, cvc код и тд. Это крайне не безопасно!!",iOS Release Engineer;iOS Platform;DDA Profile;Редактируемый профиль клиента,"Все данные После последнего обновления в приложении стали доступны все данные о карте: номер карты, cvc код и тд. Это крайне не безопасно!!",Плановый и досрочный перевыпуск дебетовых карт,Плановый и досрочный перевыпуск дебетовых карт,Sberbank ID B2C,iOS Platform,Дебетовые карты в мобильном приложении,"['Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит', 'iOS Release Engineer']"
399,"После последнего обновления приложение не открывается, оно тупо вылетает, можно как нибудь исправить ???  Может только на моем айфоне, хз, но мне нужно зайти и перевести срочно деньги, а не могу",iOS Release Engineer;iOS Platform,"..... После последнего обновления приложение не открывается, оно тупо вылетает, можно как нибудь исправить ???  Может только на моем айфоне, хз, но мне нужно зайти и перевести срочно деньги, а не могу",iOS Platform,iOS Platform,Sberbank ID B2C,СБОЛ. Классические переводы,iOS Platform,"['iOS Release Engineer', 'ЕФС.Автоплатежи', 'Платежи. Штрафы']"
